date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:41	403742/403742	---M-Z	200	added ('OK')	text/html,	etag:%22a9bba687b71b0260c2b7311c8fbb8e92%22	https://manus.im/features/manus-browser-operator	D:/nexus-ai/manus-reference/manus.im/features/manus-browser-operator	(from https://manus.im/)
17:44:41	433581/433581	---M-Z	200	added ('OK')	text/html,	etag:%22a81983efa00449a12398fe37fa9a87b6%22	https://manus.im/features/wide-research	D:/nexus-ai/manus-reference/manus.im/features/wide-research	(from https://manus.im/)
17:44:42	372869/372869	---M-Z	200	added ('OK')	text/html,	etag:%2284d9ce9a881730a8b7fe90648c4d4696%22	https://manus.im/features/mail	D:/nexus-ai/manus-reference/manus.im/features/mail	(from https://manus.im/)
17:44:43	163994/163994	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:42%20GMT	https://manus.im/integrations/slack	D:/nexus-ai/manus-reference/manus.im/integrations/slack.html	(from https://manus.im/)
17:44:43	316806/316806	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:42%20GMT	https://manus.im/blog	D:/nexus-ai/manus-reference/manus.im/blog.html	(from https://manus.im/)
17:44:44	259640/259640	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2007%20May%202026%2012:14:43%20GMT	https://manus.im/docs	D:/nexus-ai/manus-reference/manus.im/docs	(from https://manus.im/)
17:44:45	391809/391809	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:44%20GMT	https://manus.im/docs/introduction/welcome	D:/nexus-ai/manus-reference/manus.im/docs/introduction/welcome.html	(from https://manus.im/)
17:44:45	103669/103669	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:44%20GMT	https://manus.im/updates	D:/nexus-ai/manus-reference/manus.im/updates.html	(from https://manus.im/)
17:44:46	424338/424338	---M-Z	200	added ('OK')	text/html,	etag:%2276f40ceb95b9091ab6f7b5a845be0200%22	https://manus.im/startups	D:/nexus-ai/manus-reference/manus.im/startups	(from https://manus.im/)
17:44:48	817973/817973	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:46%20GMT	https://manus.im/playbook	D:/nexus-ai/manus-reference/manus.im/playbook.html	(from https://manus.im/)
17:44:48	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2007%20May%202026%2012:14:47%20GMT	https://help.manus.im/	D:/nexus-ai/manus-reference/help.manus.im/index.html	(from https://manus.im/)
17:44:48	3888/3888	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2000:06:46%20GMT	https://trust.manus.im/	D:/nexus-ai/manus-reference/trust.manus.im/index.html	(from https://manus.im/)
17:44:48	411970/411970	---M-Z	200	added ('OK')	text/html,	etag:%224f74dc222d1ca13cd49a9d736a9f4971%22	https://manus.im/brand	D:/nexus-ai/manus-reference/manus.im/brand	(from https://manus.im/)
17:44:49	230947/230947	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:48%20GMT	https://manus.im/fellows	D:/nexus-ai/manus-reference/manus.im/fellows.html	(from https://manus.im/)
17:44:49	415455/415455	---M-Z	200	added ('OK')	text/html,	etag:%22be285cbbfd8c6c684edc68dc6d450f38%22	https://manus.im/compare/vs-chatgpt	D:/nexus-ai/manus-reference/manus.im/compare/vs-chatgpt	(from https://manus.im/)
17:44:50	437733/437733	---M-Z	200	added ('OK')	text/html,	etag:%22fb54c9c48584926790e1913f541e4423%22	https://manus.im/compare/lovable	D:/nexus-ai/manus-reference/manus.im/compare/lovable	(from https://manus.im/)
17:44:51	207825/207825	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:50%20GMT	https://manus.im/compare/manus-vs-replit	D:/nexus-ai/manus-reference/manus.im/compare/manus-vs-replit.html	(from https://manus.im/)
17:44:51	124614/124614	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:50%20GMT	https://manus.im/desktop	D:/nexus-ai/manus-reference/manus.im/desktop.html	(from https://manus.im/)
17:44:53	104869/104869	---MCZ	200	added ('OK')	text/html	etag:W/%221a834509a880422c13b2a1e17bf03667%22	https://help.manus.im/en/articles/12807937-where-can-i-enable-subscribe-to-a-single-sign-on-sso-subscription-for-manus-team	D:/nexus-ai/manus-reference/help.manus.im/en/articles/12807937-where-can-i-enable-subscribe-to-a-single-sign-on-sso-subscription-for-manus-team.html	(from https://manus.im/)
17:44:53	127273/127273	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:52%20GMT	https://manus.im/about	D:/nexus-ai/manus-reference/manus.im/about.html	(from https://manus.im/)
17:44:53	51750/51750	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:52%20GMT	https://manus.im/terms	D:/nexus-ai/manus-reference/manus.im/terms.html	(from https://manus.im/)
17:44:54	52042/52042	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:53%20GMT	https://manus.im/privacy	D:/nexus-ai/manus-reference/manus.im/privacy.html	(from https://manus.im/)
17:44:54	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Thu,%2007%20May%202026%2012:14:53%20GMT	https://manus.im/favicon.ico	D:/nexus-ai/manus-reference/manus.im/favicon.ico	(from https://manus.im/)
17:44:55	15132/15132	---M--	200	added ('OK')	image/png	date:Thu,%2007%20May%202026%2012:14:54%20GMT	https://manus.im/icon.png?22b3100142bdeab9	D:/nexus-ai/manus-reference/manus.im/icon3226.png	(from https://manus.im/)
17:44:55	4942/4942	---M--	200	added ('OK')	image/png	date:Thu,%2007%20May%202026%2012:14:54%20GMT	https://manus.im/apple-icon.png?af9a97f1433085ee	D:/nexus-ai/manus-reference/manus.im/apple-icon138f.png	(from https://manus.im/)
17:44:57	10/10	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2007%20May%202026%2012:14:56%20GMT	https://api.manus.im/	D:/nexus-ai/manus-reference/api.manus.im/index.html	(from https://manus.im/)
17:44:57	0/0	---M--	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:56%20GMT	https://metrics.manus.im/	D:/nexus-ai/manus-reference/metrics.manus.im/index.html	(from https://manus.im/)
17:44:57	86/86	---M-Z	200	added ('OK')	text/plain	etag:%22654c0793d9b586eab780b423221eac8a%22	https://events.manus.im/robots.txt		(from https://manus.im/)
17:45:00	143/143	---MCZ	200	added ('OK')	text/plain	etag:W/%22779320de18ee0d3061dd9278072f6565%22	https://help.manus.im/robots.txt		(from https://manus.im/)
17:45:01	1153/1153	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2000:06:46%20GMT	https://trust.manus.im/robots.txt		(from https://manus.im/)
17:45:03	10/10	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2007%20May%202026%2012:15:01%20GMT	https://api.manus.im/robots.txt		(from https://manus.im/)
17:45:03	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20May%202026%2012:15:02%20GMT	https://metrics.manus.im/robots.txt		(from https://manus.im/)
